ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,datetime,temporada,elo_mandante_antes,elo_visitante_antes
1,1,29/03/2003,16:00,Guarani,Vasco,,,,,Guarani, Brinco de Ouro,4,2,SP,RJ,2003-03-29 16:00:00,2003,1500.0,1500.0
2,1,29/03/2003,16:00,Athletico-PR,Gremio,,,,,Athletico-PR, Arena da Baixada,2,0,PR,RS,2003-03-29 16:00:00,2003,1500.0,1500.0
3,1,30/03/2003,16:00,Flamengo,Coritiba,,,,,-, Maracanã,1,1,RJ,PR,2003-03-30 16:00:00,2003,1500.0,1500.0
4,1,30/03/2003,16:00,Goias,Paysandu,,,,,-, Serra Dourada,2,2,GO,PA,2003-03-30 16:00:00,2003,1500.0,1500.0
5,1,30/03/2003,16:00,Internacional,Ponte Preta,,,,,-, Beira Rio,1,1,RS,SP,2003-03-30 16:00:00,2003,1500.0,1500.0
6,1,30/03/2003,16:00,Criciuma,Fluminense,,,,,Criciuma, Heriberto Hulse,2,0,SC,RJ,2003-03-30 16:00:00,2003,1500.0,1500.0
7,1,30/03/2003,16:00,Juventude,Sao Paulo,,,,,-, Alfredo Jaconi,2,2,RS,SP,2003-03-30 16:00:00,2003,1500.0,1500.0
8,1,30/03/2003,16:00,Fortaleza,Bahia,,,,,-, Castelão,0,0,CE,BA,2003-03-30 16:00:00,2003,1500.0,1500.0
9,1,30/03/2003,16:00,Cruzeiro,Sao Caetano,,,,,-, Mineirão,2,2,MG,SP,2003-03-30 16:00:00,2003,1500.0,1500.0
10,1,30/03/2003,16:00,Vitoria,Figueirense,,,,,-, Barradão,1,1,BA,SC,2003-03-30 16:00:00,2003,1500.0,1500.0
11,1,30/03/2003,18:00,Santos,Parana,,,,,-, Vila Belmiro,2,2,SP,PR,2003-03-30 18:00:00,2003,1500.0,1500.0
12,1,30/03/2003,18:00,Corinthians,Atletico-MG,,,,,Atletico-MG, Pacaembu,0,3,SP,MG,2003-03-30 18:00:00,2003,1500.0,1500.0
13,2,05/04/2003,16:00,Fluminense,Fortaleza,,,,,-, Maracanã,1,1,RJ,CE,2003-04-05 16:00:00,2003,1484.0,1500.0
14,2,05/04/2003,16:00,Atletico-MG,Santos,,,,,-, Mineirão,0,0,MG,SP,2003-04-05 16:00:00,2003,1516.0,1500.0
15,2,05/04/2003,16:00,Coritiba,Internacional,,,,,Internacional, Couto Pereira,0,1,PR,RS,2003-04-05 16:00:00,2003,1500.0,1500.0
16,2,05/04/2003,18:00,Gremio,Guarani,,,,,Gremio, Olímpico,3,1,RS,SP,2003-04-05 18:00:00,2003,1484.0,1516.0
17,2,06/04/2003,16:00,Bahia,Flamengo,,,,,Flamengo, Fonte Nova,1,2,BA,RJ,2003-04-06 16:00:00,2003,1500.0,1500.0
18,2,06/04/2003,16:00,Figueirense,Corinthians,,,,,-, Orlando Scarpelli,3,3,SC,SP,2003-04-06 16:00:00,2003,1500.0,1484.0
19,2,06/04/2003,16:00,Paysandu,Vitoria,,,,,Vitoria, Mangueirão,1,2,PA,BA,2003-04-06 16:00:00,2003,1500.0,1500.0
20,2,06/04/2003,16:00,Ponte Preta,Juventude,,,,,Ponte Preta, Moisés Lucarelli,1,0,SP,RS,2003-04-06 16:00:00,2003,1500.0,1500.0
21,2,06/04/2003,16:00,Parana,Athletico-PR,,,,,Parana, Pinheirão,3,0,PR,PR,2003-04-06 16:00:00,2003,1500.0,1516.0
22,2,06/04/2003,16:00,Sao Caetano,Criciuma,,,,,Sao Caetano, Anacleto Campanella,3,2,SP,SC,2003-04-06 16:00:00,2003,1500.0,1516.0
23,2,06/04/2003,18:00,Sao Paulo,Cruzeiro,,,,,Cruzeiro, Morumbi,2,4,SP,MG,2003-04-06 18:00:00,2003,1500.0,1500.0
24,2,06/04/2003,18:00,Vasco,Goias,,,,,Vasco, São Januário,6,4,RJ,GO,2003-04-06 18:00:00,2003,1484.0,1500.0
25,4,09/04/2003,21:40,Paysandu,Santos,,,,,Paysandu, Mangueirão,2,1,PA,SP,2003-04-09 21:40:00,2003,1484.0,1500.736306793522
37,3,12/04/2003,16:00,Internacional,Bahia,,,,,Internacional, Beira Rio,2,0,RS,BA,2003-04-12 16:00:00,2003,1516.0,1484.0
38,3,12/04/2003,16:00,Santos,Figueirense,,,,,Santos, Vila Belmiro,2,0,SP,SC,2003-04-12 16:00:00,2003,1483.9661669788793,1499.263693206478
39,3,12/04/2003,16:00,Athletico-PR,Atletico-MG,,,,,Atletico-MG, Arena da Baixada,1,2,PR,MG,2003-04-12 16:00:00,2003,1499.263693206478,1515.263693206478
40,3,12/04/2003,18:00,Corinthians,Paysandu,,,,,Corinthians, Pacaembu,6,1,SP,PA,2003-04-12 18:00:00,2003,1484.736306793522,1500.7701398146428
46,3,13/04/2003,16:00,Goias,Gremio,,,,,-, Serra Dourada,1,1,GO,RS,2003-04-13 16:00:00,2003,1483.263693206478,1501.4695015289756
44,3,13/04/2003,16:00,Juventude,Coritiba,,,,,Juventude, Alfredo Jaconi,2,1,RS,PR,2003-04-13 16:00:00,2003,1484.0,1484.0
45,3,13/04/2003,16:00,Guarani,Parana,,,,,Guarani, Brinco de Ouro,2,0,SP,PR,2003-04-13 16:00:00,2003,1498.5304984710244,1516.736306793522
42,3,13/04/2003,16:00,Criciuma,Sao Paulo,,,,,-, Heriberto Hulse,1,1,SC,SP,2003-04-13 16:00:00,2003,1499.263693206478,1484.0
41,3,13/04/2003,16:00,Vitoria,Vasco,,,,,Vitoria, Barradão,2,1,BA,RJ,2003-04-13 16:00:00,2003,1516.0,1500.736306793522
43,3,13/04/2003,16:00,Fortaleza,Sao Caetano,,,,,-, Presidente Vargas,1,1,CE,SP,2003-04-13 16:00:00,2003,1499.263693206478,1516.736306793522
47,3,13/04/2003,18:00,Cruzeiro,Ponte Preta,,,,,Cruzeiro, Mineirão,3,0,MG,SP,2003-04-13 18:00:00,2003,1516.0,1516.0
48,3,13/04/2003,18:00,Flamengo,Fluminense,,,,,Flamengo, Maracanã,4,1,RJ,RJ,2003-04-13 18:00:00,2003,1516.0,1484.736306793522
26,4,16/04/2003,20:30,Bahia,Juventude,,,,,Bahia, Fonte Nova,3,1,BA,RS,2003-04-16 20:30:00,2003,1469.4695015289756,1500.0
27,4,16/04/2003,20:30,Gremio,Vitoria,,,,,Gremio, Olímpico,2,1,RS,BA,2003-04-16 20:30:00,2003,1500.6318596017168,1531.2975328274754
28,4,16/04/2003,20:30,Atletico-MG,Guarani,,,,,Atletico-MG, Mineirão,3,2,MG,SP,2003-04-16 20:30:00,2003,1530.5273864129558,1515.3681403982832
30,4,16/04/2003,20:30,Ponte Preta,Criciuma,,,,,-, Moisés Lucarelli,1,1,SP,SC,2003-04-16 20:30:00,2003,1500.0,1498.5612260339533
29,4,16/04/2003,20:30,Figueirense,Athletico-PR,,,,,-, Orlando Scarpelli,1,1,SC,PR,2003-04-16 20:30:00,2003,1482.559670975704,1484.0
31,4,16/04/2003,21:40,Sao Caetano,Flamengo,,,,,-, Anacleto Campanella,1,1,SP,RJ,2003-04-16 21:40:00,2003,1515.9323408595199,1530.5641271217237
32,4,16/04/2003,21:40,Vasco,Corinthians,,,,,-, São Januário,2,2,RJ,SP,2003-04-16 21:40:00,2003,1485.4387739660467,1501.474168348652
33,4,16/04/2003,21:40,Coritiba,Cruzeiro,,,,,Cruzeiro, Couto Pereira,3,4,PR,MG,2003-04-16 21:40:00,2003,1468.0,1532.0
34,4,17/04/2003,20:30,Fluminense,Internacional,,,,,Fluminense, Maracanã,3,1,RJ,RS,2003-04-17 20:30:00,2003,1470.1721796717984,1530.5304984710244
35,4,17/04/2003,20:30,Sao Paulo,Fortaleza,,,,,Sao Paulo, Morumbi,3,1,SP,CE,2003-04-17 20:30:00,2003,1484.7024671725246,1500.0676591404801
